ADDRESS,PERMIT,Permit Status,Inspection Date,Inspection Type,Inspection Result,Latitude/Longitude
6170 N RESEDA BLVD #101,16016 20000 11295,Issued,07/19/2016,Smoke Detectors,Not Ready for Inspection,"(34.18229, -118.53582)"
11219 W EMELITA ST,15020 30000 02097,Issued,07/21/2016,Wood Frame,Corrections Issued,"(34.17679, -118.37528)"
6150 W 96TH ST,15010 10000 03067,Issued,07/20/2016,Wood Frame,Insp Scheduled,"(33.94871, -118.39284)"
2875 S CLUB DR,14014 20000 01501,CofO Issued,07/18/2016,CofO Issuance,CofO in Progress,"(34.03885, -118.40235)"
1505 S CARDIFF AVE,16014 20000 02020,Issued,07/20/2016,METHANE-Subgrade,Approved,"(34.05232, -118.39228)"
1480 N BLUE JAY WAY,14047 20000 01084,CofO in Progress,07/18/2016,Final,OK to Issue CofO,"(34.09865, -118.3863)"
1026 S BROADWAY,13043 10000 04307,Issued,07/18/2016,Overhead Hydro,Partial Approval,"(34.04029, -118.25788)"
616 S NORMANDIE AVE,16041 10000 02699,Issued,07/19/2016,Final,Partial Approval,"(34.06287, -118.30017)"
2217 S MARIAN PL,16042 90000 14354,Issued,07/19/2016,Final,Corrections Issued,"(33.99328, -118.4552)"
900 W WILSHIRE BLVD,14042 10000 11202,Issued,07/22/2016,Bathtub Test,Insp Scheduled,"(34.04999, -118.2596)"
6142 E HILLANDALE DR,16041 10000 08523,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.12624, -118.18484)"
11574 W SANTA MONICA BLVD,16042 40000 11888,Issued,07/18/2016,Underground,Partial Approval,"(34.04473, -118.45335)"
814 N MAJORCA PL,16047 20000 00805,Issued,07/18/2016,Rough-Electrical,Partial Approval,"(34.07521, -118.48067)"
9301 N TAMPA AVE STE 22,15016 20000 27568,Issued,07/18/2016,Light Gage Steel Frame,Partial Approval,"(34.2392, -118.55379)"
1136 W PAPEETE ST,16014 40000 01586,Issued,07/18/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Approval,"(33.7868, -118.2775)"
7800 WORLD WAY WEST,15041 10000 27142,Issued,07/19/2016,Final,Partial Approval,"(33.93845, -118.42964)"
5800 W SUNSET BLVD,15010 10000 02816,Issued,07/20/2016,Deputy Reinf. Concrete,Conditional Approval,"(34.09789, -118.31599)"
5729 S LONG BEACH AVE WEST,16026 10000 00077,Permit Finaled,07/19/2016,Final,Permit Finaled,"(33.9904, -118.24369)"
9305 N CANTERBURY AVE,14044 20000 05822,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.23882, -118.43449)"
169 N CANYON VIEW DR,14010 20000 01332,Issued,07/22/2016,Verify Sprinkler Sign Off,Insp Scheduled,"(34.05919, -118.48479)"
10560 W WILSHIRE BLVD UNIT 403,16016 30000 07814,Issued,07/18/2016,Drywall Nailing,Partial Approval,"(34.06229, -118.43273)"
815-817 E 76TH ST,16043 20000 02752,Issued,07/19/2016,Final,Cancelled,"(33.97129, -118.26024)"
1318 E 7TH ST,16043 10000 00799,Issued,07/21/2016,Rough,Partial Approval,"(34.03608, -118.24052)"
7551 S TRASK AVE,15014 10000 02656,Issued,07/22/2016,ELECTRICAL-Rough,Insp Scheduled,"(33.95244, -118.4431)"
3477 S ROSEWOOD AVE,15043 20000 05668,Issued,07/22/2016,Final,Insp Scheduled,"(34.00571, -118.44829)"
7858 N LANKERSHIM BLVD,14014 20000 04435,Issued,07/19/2016,Floor/Roof Diaphrgm/Shear Wall,Approved,"(34.21372, -118.38757)"
7858 N LANKERSHIM BLVD,14014 20000 04435,Issued,07/19/2016,Floor/Roof Diaphrgm/Shear Wall,Approved,"(34.21372, -118.38757)"
1200 S GRAND AVE,13010 10000 02721,Issued,07/22/2016,Deputy Drilled-In Anchors,Conditional Approval,"(34.03989, -118.26331)"
412 N CLIFFWOOD AVE,14030 30000 02358,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.06344, -118.48706)"
11677 W SAN VICENTE BLVD 200,16043 10000 01037,Issued,07/19/2016,Rough,Partial Approval,"(34.054, -118.4649)"
10508 N PINEWOOD AVE,16014 20000 00924,Issued,07/22/2016,PLUMBING-Rough,Insp Scheduled,"(34.25978, -118.28563)"
6010 W BOEING PL,16014 30000 01628,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Approval,"(33.97018, -118.38901)"
5253 N BEN AVE,14010 10000 00612,Issued,07/18/2016,Gas Test,Corrections Issued,"(34.16641, -118.39445)"
6245 W WILSHIRE BLVD,15020 10001 02152,Issued,07/20/2016,Deputy Steel/Welding,Conditional Approval,"(34.06357, -118.36486)"
900 N ALAMEDA ST MEZZ. 1,16041 10000 25739,Issued,07/22/2016,Final,Insp Scheduled,"(34.05855, -118.23671)"
9280 W NIGHTINGALE DR,14010 30000 01652,Issued,07/19/2016,Reinforced Concrete Frame,Partial Approval,"(34.10343, -118.39095)"
13479 N GLENOAKS BLVD,15042 10000 15884,Issued,07/20/2016,Rough,Partial Approval,"(34.31709, -118.46235)"
2215 E ALCAZAR ST,14044 10000 07791,Issued,07/19/2016,Final,Corrections Issued,"(34.06357, -118.20153)"
4700 W WESTERN HERITAGE WAY,15043 10000 04958,Issued,07/19/2016,Underground Hydro,Insp Cancelled,"(34.14865, -118.28197)"
5111 N GREENBUSH AVE,15010 20000 03129,Issued,07/22/2016,Final,Not Ready for Inspection,"(34.16327, -118.42592)"
2919 1/2 S BRONSON AVE,13010 10000 01677,Issued,07/19/2016,Wood Frame,Corrections Issued,"(34.02885, -118.33405)"
7108 N AMIGO AVE,14010 20000 03141,Issued,07/18/2016,Floor/Roof Diaphrgm/Shear Wall,Conditional Approval,"(34.19963, -118.53846)"
6156-6156 1/2 E YORK BLVD,16041 10000 19770,Issued,07/22/2016,Final,Insp Scheduled,"(34.11606, -118.18527)"
9106-9108 S BARING CROSS ST,15010 10000 02655,CofO Issued,07/22/2016,Inspection,Permit Finaled,"(33.95388, -118.2892)"
9106-9108 S BARING CROSS ST,15010 10000 02655,CofO Issued,07/22/2016,Inspection,Permit Finaled,"(33.95388, -118.2892)"
1150 W 25TH ST,16016 70001 06892,Issued,07/22/2016,Smoke Detectors,Insp Scheduled,"(34.03339, -118.28536)"
13916 W SUNSET BLVD TEMP,15041 10000 19504,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.04621, -118.50841)"
255 S GRAND AVE,14042 10000 21572,Issued,07/22/2016,Rough,Insp Scheduled,"(34.05332, -118.25122)"
647 W 32ND ST,15042 10000 09734,Issued,07/21/2016,Rough,Partial Approval,"(34.02428, -118.28036)"
5151 N QUAKERTOWN AVE,15014 20002 04875,Issued,07/19/2016,Structural Steel Frame,Partial Approval,"(34.1644, -118.5699)"
11636 W MONTANA AVE 201,16042 30000 10194,Issued,07/22/2016,Rough,Insp Scheduled,"(34.05597, -118.46559)"
6170 N RESEDA BLVD #101,16016 20000 11295,Issued,07/19/2016,Final,Corrections Issued,"(34.18229, -118.53582)"
12057 W WILSHIRE BLVD,15041 30000 14607,Issued,07/20/2016,Final,Corrections Issued,"(34.04489, -118.46677)"
1421 W 46TH ST,15010 70000 03958,Issued,07/21/2016,Verify Sprinkler Sign Off,No Access for Inspection,"(34.00201, -118.30091)"
5300 N NEWCASTLE AVE,15016 10000 25903,Issued,07/18/2016,Deputy Steel/Welding,Conditional Approval,"(34.16718, -118.52422)"
5300 N NEWCASTLE AVE,15016 10000 25903,Issued,07/18/2016,Deputy Steel/Welding,Conditional Approval,"(34.16718, -118.52422)"
6125 N FULTON AVE,13042 20005 20030,Issued,07/18/2016,Rough,Partial Inspection,"(34.18198, -118.4228)"
3416 S BEETHOVEN ST,14010 30000 02808,Issued,07/22/2016,Green Building Rough,Not Ready for Inspection,"(34.00816, -118.44737)"
2968 W 6TH ST,14010 10004 02478,Issued,07/19/2016,Deputy Shotcrete,Conditional Approval,"(34.06349, -118.28603)"
1403 N SEWARD ST,16042 10000 11557,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09656, -118.33344)"
933 N ROBINSON ST,16043 10000 03275,Issued,07/20/2016,Overhead Hydro,Approved,"(34.08413, -118.27754)"
20272 W JUBILEE WAY,16043 10000 01927,Issued,07/21/2016,Rough,Approved,"(34.28331, -118.57576)"
3210 N EDLOFT AVE,16044 90000 07761,Issued,07/20/2016,Final,Insp Cancelled,"(34.08229, -118.18393)"
10247 N PLAINVIEW AVE,15016 20000 20435,Issued,07/21/2016,Final,Not Ready for Inspection,"(34.25548, -118.29803)"
12660 W RIVERSIDE DR STE 215,16016 10000 11086,Issued,07/18/2016,T-Bar Ceiling,Approved,"(34.15745, -118.40938)"
6245 W WILSHIRE BLVD,15020 10000 02152,Issued,07/21/2016,Deputy Reinf. Concrete,Approved,"(34.06357, -118.36486)"
3455 N WRIGHTVIEW DR,16042 90000 14547,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.13508, -118.37562)"
10671 N EL DORADO AVE,16010 20000 01643,Issued,07/18/2016,Footing/Foundation/Slab,Approved,"(34.26398, -118.42295)"
18209 W PARTHENIA ST B,15042 20000 05534,Permit Finaled,07/18/2016,Final,Partial Inspection,"(34.22881, -118.52978)"
844 N VISTA ST,16020 10000 01591,Issued,07/19/2016,Footing/Foundation/Slab,Approved,"(34.08652, -118.35211)"
3803 N DIAMANTE PL,15014 20000 03383,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.13869, -118.49554)"
3803 N DIAMANTE PL,15014 20000 03383,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.13869, -118.49554)"
6812 ESTEPA DR,16016 70000 16887,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Insp Scheduled,"(34.24134, -118.28008)"
2706 E MEDIA CENTER DR,16044 90000 07610,Issued,07/21/2016,Final,Corrections Issued,"(34.10771, -118.24215)"
1661 S COLBY AVE 1-5,16016 20000 15888,Permit Finaled,07/19/2016,Smoke Detectors,No Access for Inspection,"(34.04359, -118.45174)"
10078 W MCBROOM ST,14041 20000 31928,Permit Finaled,07/18/2016,Service/Power Release,Approved,"(34.26349, -118.35066)"
11431 W DONA TERESA DR,16016 30000 16092,Issued,07/19/2016,Drywall Nailing,Not Ready for Inspection,"(34.12978, -118.38241)"
13530 W BEAVER ST,16014 20000 00839,CofO in Progress,07/18/2016,CofO Issuance,CofO in Progress,"(34.31275, -118.42736)"
1029 S KENISTON AVE,16042 90000 12826,Issued,07/22/2016,Rough,Insp Scheduled,"(34.05606, -118.33667)"
660 S FIGUEROA ST # 1890,16016 10000 13842,Issued,07/20/2016,T-Bar Ceiling,Not Ready for Inspection,"(34.04953, -118.25947)"
5601 N DE SOTO AVE,15014 20000 04961,Issued,07/20/2016,Deputy Steel/Welding,Partial Approval,"(34.17126, -118.58861)"
12400 W MOORPARK ST #10,16041 20000 19248,Issued,07/21/2016,Rough,Approved,"(34.15022, -118.40345)"
2611-2619 W EXPOSITION BLVD,16042 10000 06133,Issued,07/18/2016,Underground,Corrections Issued,"(34.02044, -118.32406)"
8520 N MULHOLLAND DR,16016 20000 02275,Issued,07/18/2016,Interior/Exterior Lathing,Approved,"(34.12119, -118.38615)"
1933 S COVINGTON LANE,15043 10000 05267,Issued,07/22/2016,Final,Insp Scheduled,"(34.04061, -118.37192)"
13952 W PAXTON ST,16016 20000 14384,Issued,07/20/2016,Pre-Inspection,Approved,"(34.26543, -118.43717)"
1817 S WOOSTER ST acc bldg 2,15010 10000 02189,Issued,07/22/2016,Verify Sprinkler Sign Off,Insp Scheduled,"(34.04564, -118.38436)"
1208 S ST ANDREWS PL,16041 10000 18165,Issued,07/19/2016,Service/Power Release,Approved,"(34.04896, -118.31144)"
12604 W VENTURA BLVD,16044 90000 07682,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.14334, -118.40791)"
1505 S CARDIFF AVE,16014 20000 02020,Issued,07/20/2016,Excavation/Setback/Form/Re-Bar,Partial Approval,"(34.05232, -118.39228)"
6150 W 96TH ST,15010 10000 03068,Issued,07/21/2016,"Heat,Vent,A/C Verification",OK for CofO,"(33.94871, -118.39284)"
2709 E CAMULOS PL,16041 10000 19534,Permit Finaled,07/18/2016,Final,Partial Inspection,"(34.02601, -118.21715)"
1435 W 7TH ST,15041 10001 33197,Issued,07/22/2016,Final,Insp Scheduled,"(33.7377, -118.30896)"
"3782 W MARTIN LUTHER KING, JR BLVD",15010 10000 02476,Issued,07/19/2016,Deputy Reinf. Concrete,Approved,"(34.01316, -118.34001)"
"3782 W MARTIN LUTHER KING, JR BLVD",15010 10000 02476,Issued,07/19/2016,Deputy Reinf. Concrete,Approved,"(34.01316, -118.34001)"
218 S TILDEN AVE,11010 10000 01703,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.07226, -118.45699)"
218 S TILDEN AVE,11010 10000 01703,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.07226, -118.45699)"
448 1/2 E CLIFTON ST,16042 10000 13651,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.07886, -118.20883)"
11166 W SUNSET BLVD,14010 10000 03492,Issued,07/19/2016,Underground Mechanical,Not Ready for Inspection,"(34.07346, -118.46013)"
9150 W WARBLER WAY,09047 20000 00146,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09864, -118.38911)"
1823 W GRAFTON ST,14014 10000 02908,Issued,07/18/2016,PLUMBING-Rough,Partial Approval,"(34.08205, -118.25798)"
1737 N BEL-AIR ROAD,14010 10000 02840,Issued,07/19/2016,Insulation,Approved,"(34.10178, -118.4479)"
232 E 2ND ST,12010 10000 01694,Issued,07/20/2016,TCO Electrical Verification,Completed (special insp),"(34.04956, -118.24249)"
1939 S COVINGTON LANE,15010 20000 03108,Issued,07/19/2016,Final,Not Ready for Inspection,"(34.04049, -118.37196)"
1643 S WARNALL AVE,14047 10000 00855,Issued,07/18/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.06113, -118.4226)"
3338 S MCLAUGHLIN AVE,15010 10000 02929,CofO in Progress,07/19/2016,CofO Issuance,CofO in Progress,"(34.0179, -118.43309)"
13645 W CHANDLER BLVD,15014 40000 04466,Issued,07/21/2016,PLUMBING-Final,Approved,"(34.16871, -118.43044)"
5539 N WHITSETT AVE,16042 90000 14596,Permit Finaled,07/19/2016,Final,Corrections Issued,"(34.17125, -118.40552)"
10255 N SAMOA AVE,16016 20000 15441,Permit Finaled,07/19/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.2555, -118.28743)"
808 S GENESEE AVE,16016 20000 16341,Issued,07/18/2016,Interior/Exterior Lathing,Partial Approval,"(34.06054, -118.35932)"
6873 N TROOST AVE,16016 30000 00648,Issued,07/19/2016,Final,Corrections Issued,"(34.19599, -118.38665)"
4284 E MOONSTONE DR right unit,16041 90000 24675,Issued,07/18/2016,Final,Corrections Issued,"(34.0793, -118.19549)"
11944 N PHILLIPPI AVE,16041 90000 19678,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.28752, -118.41684)"
1900 S GRAND AVE,16016 10000 08176,Issued,07/18/2016,Excavation/Setback/Form/Re-Bar,Approved,"(34.03244, -118.26825)"
222 S MAIN ST,13010 10000 03472,Issued,07/20/2016,Wood Frame,Partial Approval,"(34.05047, -118.2448)"
1207 N GORDON ST,16016 70000 16592,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Insp Scheduled,"(34.09282, -118.32022)"
1829 N KENMORE AVE UNIT 3,13010 10001 04303,Issued,07/21/2016,ELECTRICAL-Rough,Not Ready for Inspection,"(34.10441, -118.29776)"
2590 E ARVIA ST,14010 10000 01588,Issued,07/21/2016,Drywall Nailing,Partial Approval,"(34.09469, -118.23162)"
2341 S CLOY AVE,14016 10000 13160,Issued,07/19/2016,Green Building Final,Insp Cancelled,"(33.98653, -118.45966)"
10615 S AVALON BLVD,16016 70000 15570,Issued,07/19/2016,Green Building Rough,Insp Scheduled,"(33.9397, -118.26532)"
1200 S GRAND AVE,15043 20000 01253,Issued,07/18/2016,Overhead Hydro,Not Ready for Inspection,"(34.03989, -118.26331)"
8356 W SUNSET VIEW DR,13016 20000 22317,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09977, -118.372)"
6245 W WILSHIRE BLVD,15020 10000 02152,Issued,07/20/2016,Deputy Reinf. Concrete,Conditional Approval,"(34.06357, -118.36486)"
13075 W PACIFIC PROMENADE,16042 10000 13827,Issued,07/18/2016,Shower Pan,Corrections Issued,"(33.97221, -118.42536)"
6660 N BOBBYBOYAR AVE,15014 20000 03430,CofO in Progress,07/23/2016,CofO Issuance,CofO in Progress,"(34.19152, -118.6324)"
9705 N VARNA AVE,16041 90000 24804,Issued,07/22/2016,Service/Power Release,Insp Scheduled,"(34.24678, -118.44456)"
1616 W 260TH ST 1,14010 10000 00179,Issued,07/20/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Approval,"(33.78667, -118.30487)"
6536 W BARTON AVE,16041 30000 22310,Issued,07/19/2016,Rough,Approved,"(34.08764, -118.3344)"
5015 N BALBOA BLVD #101-#410,13010 20000 02587,Issued,07/20/2016,Drywall Nailing,Partial Approval,"(34.16219, -118.50134)"
19317 W LUDLOW ST,16041 90000 22081,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.27109, -118.55388)"
245 S MAIN ST C11,16016 10000 10531,Issued,07/21/2016,Insulation,Partial Approval,"(33.99681, -118.47872)"
8357 W 4TH ST,16041 90000 25593,Issued,07/22/2016,Final,Insp Scheduled,"(34.07123, -118.37221)"
9767 W MONTE MAR DR,15010 20000 01959,Issued,07/22/2016,Wood Frame,Insp Scheduled,"(34.04957, -118.40053)"
6751 GILL WAY,13010 20000 00542,Issued,07/21/2016,Shower Pan,Not Ready for Inspection,"(34.11951, -118.34049)"
12360 W OSBORNE PL 17,13010 20000 04178,Issued,07/20/2016,ELECTRICAL-Rough,Approved,"(34.25922, -118.40237)"
1200 W 62ND ST,16041 90000 13426,Issued,07/19/2016,Final,Corrections Issued,"(33.98314, -118.2961)"
1764 S GLENDON AVE & 1764 1/2,16042 90000 14734,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.05073, -118.4363)"
14851 W BESSEMER ST,16016 10000 09508,Issued,07/22/2016,Structural Steel Frame,Conditional Approval,"(34.18089, -118.45702)"
201 S AVENUE 55,16016 10000 13290,Issued,07/19/2016,Smoke Detectors,Insp Scheduled,"(34.10597, -118.19458)"
6535 N COSTELLO AVE,16041 90000 24950,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.18954, -118.43793)"
4633 N WHITE OAK PL,16016 20000 13137,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.15514, -118.52177)"
2718 E MOZART ST,16016 70000 15628,Issued,07/22/2016,Smoke Detectors,Insp Scheduled,"(34.06926, -118.21355)"
5553 W SUNSET BLVD,16048 10000 01113,Issued,07/19/2016,Final,Not Ready for Inspection,"(34.09826, -118.31121)"
350 S GRAND AVE SUITE 3950,16044 90000 06186,Issued,07/22/2016,Test-Life Sfty/Vent/Smoke/Air,Insp Scheduled,"(34.05173, -118.25219)"
1065 S LA CIENEGA BLVD 1-49,15016 10000 21054,Issued,07/22/2016,Interior/Exterior Lathing,Insp Scheduled,"(34.05748, -118.37649)"
13217 N HERRICK AVE,15014 20000 03894,Issued,07/22/2016,BUILDING-Rough-Frame,Insp Scheduled,"(34.31068, -118.46037)"
6637 N COSTELLO AVE,15014 20000 05156,Issued,07/22/2016,Drywall Nailing,Approved,"(34.19149, -118.43793)"
2847 N NICHOLS CANYON PL,16030 20000 04131,Issued,07/19/2016,Bottom/Toe,Approved,"(34.12194, -118.36075)"
12246 W HARTSOOK ST,15010 20000 03642,Issued,07/18/2016,Footing/Foundation/Slab,Insp Cancelled,"(34.16385, -118.40038)"
10250 W SANTA MONICA BLVD,14042 20001 19753,Issued,07/20/2016,Water Piping or Service,Partial Inspection,"(34.05949, -118.42045)"
24131 W STAGG ST,15047 20000 00574,CofO in Progress,07/23/2016,CofO Issuance,CofO in Progress,"(34.211, -118.65308)"
9262 W NIGHTINGALE DR,16020 10000 00507,Issued,07/21/2016,Deputy Grading,Approved,"(34.10344, -118.39091)"
16551 W BOSQUE DR,15030 20000 05081,Permit Finaled,07/21/2016,Green Building Final,Approved,"(34.14596, -118.49427)"
14352 W TIARA ST,16041 10000 11037,Issued,07/22/2016,Life Safety,Not Ready for Inspection,"(34.17832, -118.44622)"
3087 N DEEP CANYON DR,15042 30000 13120,Permit Finaled,07/19/2016,Final,Insp Cancelled,"(34.12995, -118.43184)"
1541 S ORANGE GROVE AVE 1-8,14010 10000 00887,Issued,07/19/2016,Green Building Rough,Insp Cancelled,"(34.04835, -118.36655)"
3712 S CABRILLO AVE,15014 20000 04113,Issued,07/20/2016,Final,Corrections Issued,"(33.71159, -118.29896)"
3338 S MCLAUGHLIN AVE,15010 10000 02928,CofO in Progress,07/19/2016,Final,OK to Issue CofO,"(34.0179, -118.43309)"
12950 W HAMLIN ST,16042 90000 13287,Permit Finaled,07/18/2016,Rough,Partial Approval,"(34.18833, -118.4156)"
10342 N SCOVILLE AVE,16041 20000 12295,Issued,07/19/2016,Final,Not Ready for Inspection,"(34.25733, -118.3139)"
12737 N GLENOAKS BLVD # 27,14016 20000 22592,Issued,07/19/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Not Ready,"(34.30159, -118.44224)"
8323 S GEORGETOWN AVE,16014 10000 02374,Issued,07/22/2016,Interior/Exterior Lathing,Insp Scheduled,"(33.96271, -118.41377)"
555 E UNIVERSAL HOLLYWOOD DR,15046 10000 01245,Issued,07/20/2016,Final,Partial Inspection,"(34.13776, -118.3584)"
555 E UNIVERSAL HOLLYWOOD DR,15046 10000 01245,Issued,07/20/2016,Final,Partial Inspection,"(34.13776, -118.3584)"
250-252 S BERNARD AVE,16046 10000 00118,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.0004, -118.47085)"
6420 W WILSHIRE BLVD 4th FL,16041 20000 15967,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.06365, -118.36922)"
23130 W INGOMAR ST,16014 20000 03316,Issued,07/21/2016,Light Gage Steel Frame,Approved,"(34.21174, -118.63126)"
3212 W 74TH ST,16042 90000 14502,Permit Finaled,07/19/2016,Gas Piping,Approved,"(33.9726, -118.32911)"
128 S GRANVILLE AVE,12010 10000 02882,Issued,07/19/2016,Floor/Roof Diaphrgm/Shear Wall,Not Ready for Inspection,"(34.06298, -118.47123)"
10201 W PICO BLVD Bldg.26,16042 90000 12178,Issued,07/20/2016,Underground,Corrections Issued,"(34.04994, -118.41129)"
11616 W MAGNOLIA BLVD,15020 10001 02507,Issued,07/20/2016,Deputy Reinf. Concrete,Conditional Approval,"(34.16475, -118.38511)"
8701 S DELGANY AVE 201,15016 30000 05334,Issued,07/19/2016,Smoke Detectors,Not Ready for Inspection,"(33.9561, -118.43986)"
13875 W DAVENTRY ST,16041 90000 23259,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.26602, -118.43524)"
23509 W WINDOM ST,14016 10000 10925,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.20669, -118.64062)"
8500 W BEVERLY BLVD 6TH FLR-8TH FLR,14016 10000 15799,Issued,07/18/2016,Light Gage Steel Frame,Partial Inspection,"(34.07587, -118.37754)"
144-146 S SAVANNAH ST,16010 10000 00858,Issued,07/22/2016,METHANE-Rough,Approved,"(34.03956, -118.20401)"
17320 W VANOWEN ST LOT 18,15010 20000 02688,Issued,07/18/2016,HVAC-Rough,Approved,"(34.19365, -118.5109)"
1006 S WEYMOUTH AVE,15010 20000 01304,Issued,07/19/2016,Final,Corrections Issued,"(33.73511, -118.30955)"
22815 W CALIFA ST,15016 30000 18913,Permit Finaled,07/20/2016,ELECTRICAL-Final,Approved,"(34.1775, -118.624)"
439 N MARTEL AVE,16010 20000 01898,Issued,07/22/2016,Footing/Foundation/Slab,Insp Scheduled,"(34.07932, -118.35122)"
16487 W HALSEY ST,16030 20000 04706,Issued,07/22/2016,Excavation,Insp Scheduled,"(34.28089, -118.49188)"
1905-1915 N HILLHURST AVE,15026 10000 00437,CofO in Progress,07/20/2016,CofO Issuance,CofO in Progress,"(34.10565, -118.28766)"
1002 N FIGUEROA TER,14016 10000 07861,Issued,07/20/2016,Final,Partial Inspection,"(34.06835, -118.24515)"
100 S SANTA FE AVE,16016 10000 12729,Issued,07/22/2016,Wood Frame,Insp Scheduled,"(34.04574, -118.23239)"
20545 W KESWICK ST,12014 20000 03448,CofO in Progress,07/20/2016,CofO Issuance,CofO in Progress,"(34.21061, -118.58129)"
7550 N TAMPA AVE #E,16016 20000 11463,Issued,07/22/2016,Wood Frame,Insp Cancelled,"(34.20793, -118.55333)"
14006 W RIVERSIDE DR # 20,16042 10000 13354,Issued,07/20/2016,Underground,Partial Approval,"(34.15713, -118.43792)"
302 N LAVETA TER,16016 20000 05436,Issued,07/18/2016,Green Building Rough,Approved,"(34.06578, -118.26009)"
1907 S 8TH AVE,16041 20000 23844,Issued,07/18/2016,Rough,Corrections Issued,"(34.03939, -118.32619)"
3712 S KELTON AVE,16043 20000 02180,Issued,07/22/2016,Rough,Insp Scheduled,"(34.01774, -118.41297)"
670 S KELTON AVE,12010 10000 02883,Issued,07/19/2016,Deputy Reinf. Concrete,Approved,"(34.06486, -118.45263)"
19401 W PARTHENIA ST,14043 20000 04721,Issued,07/21/2016,Final,Partial Approval,"(34.22847, -118.55614)"
950 W BLOOMWOOD ROAD,16041 40000 20642,Issued,07/18/2016,Final,Cancelled,"(33.75842, -118.29842)"
28138 S WESTERN AVE,16016 20000 12681,Issued,07/21/2016,Smoke Detectors,Approved,"(33.76355, -118.31039)"
2407 N CREST VIEW DR,16016 20000 14863,Issued,07/21/2016,PLUMBING-Rough,Approved,"(34.11572, -118.38884)"
6263 E MERIDIAN ST,16016 10000 08507,Issued,07/22/2016,Smoke Detectors,No Access for Inspection,"(34.12023, -118.18029)"
3125 E ALTURA ST,15044 20000 12426,Permit Finaled,07/22/2016,Inspection,Permit Finaled,"(34.07566, -118.20814)"
4558 N VANALDEN AVE,14044 20000 04232,Issued,07/20/2016,Final,Partial Inspection,"(34.15314, -118.55373)"
601 N FULLER AVE,14010 20000 01718,Issued,07/21/2016,Final,Insp Scheduled,"(34.08203, -118.34994)"
3800 N LONGRIDGE AVE,15014 30000 05820,Issued,07/22/2016,Footing/Foundation/Slab,Approved,"(34.13933, -118.41816)"
1511 W 219TH ST,15016 40001 24671,Permit Finaled,07/19/2016,Final,Permit Finaled,"(33.82924, -118.30427)"
3201 S OVERLAND AVE GYM,16044 30000 07742,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.02928, -118.41552)"
4029 W DON DIABLO DR,16014 10000 00190,Issued,07/22/2016,Drywall Nailing,Insp Scheduled,"(34.00882, -118.3453)"
4665 W MELROSE AVE,16041 90000 23524,Issued,07/21/2016,Rough,Not Ready for Inspection,"(34.08368, -118.30206)"
4853 N LANKERSHIM BLVD,15030 10000 07086,Issued,07/22/2016,Drainage Devices/Catch Basin,Insp Scheduled,"(34.15899, -118.3713)"
1109 S PATTON AVE,16016 40000 15801,Issued,07/18/2016,Final,Corrections Issued,"(33.73429, -118.30572)"
6008 N WISH AVE,16014 20000 01800,Issued,07/21/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.17931, -118.50577)"
2134 S 10TH AVE,16041 10000 23394,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.03706, -118.32786)"
23720 W POSEY LANE,14041 20000 15166,Permit Finaled,07/18/2016,Service/Power Release,Approved,"(34.2097, -118.64532)"
754-756 E 88TH PL,16010 10000 01275,Issued,07/20/2016,Insulation,Partial Approval,"(33.95639, -118.26111)"
