Incident #,Alarm Time,Call Type,Incident Type,Response Time (Median),Incident Duration,Stations,Units,Unit Count,GeoJSON,geo_point_2d
18-1100278,2018-11-13,Fire,Other Cooking/toasting/smoke/steam (no fire),11.37,31.15,"GORE RD,UNITY RD","P231,P281,T231,T281",4,"{""type"": ""Point"", ""coordinates"": [-76.46596334679633, 44.29887781370207]}","44.2988778137,-76.4659633468"
18-0700717,2018-07-26,Motor Vehicle Accident,Vehicle Collision,5.03,9.7,"PALACE RD,RAILWAY ST","P251,P262",2,"{""type"": ""Point"", ""coordinates"": [-76.48402255306219, 44.26480207604742]}","44.264802076,-76.4840225531"
18-1100290,2018-11-13,False Fire Call,Alarm System Equipment - Malfunction,4.48,24.65,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49377379231993, 44.242981658582266]}","44.2429816586,-76.4937737923"
18-0700719,2018-07-26,False Fire Call,Alarm System Equipment - Malfunction,9.28,20.03,"BROCK ST,GORE RD,PALACE RD","A231,L241,P231,P262",4,"{""type"": ""Point"", ""coordinates"": [-76.46966392319045, 44.2339960889584]}","44.233996089,-76.4696639232"
18-1100292,2018-11-13,False Fire Call,Alarm System Equipment - Malfunction,3.75,9.57,"BROCK ST,PALACE RD,UNITY RD","L241,P261,P282",3,"{""type"": ""Point"", ""coordinates"": [-76.49262335132455, 44.227085770386545]}","44.2270857704,-76.4926233513"
18-0700724,2018-07-26,Fire,Authorized controlled burning - complaint,6.48,15.6,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.53406408178425, 44.236419988627574]}","44.2364199886,-76.5340640818"
18-1100295,2018-11-13,False Fire Call,Alarm System Equipment - Malfunction,5.07,10.23,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.48504388066712, 44.231499976266406]}","44.2314999763,-76.4850438807"
18-0700730,2018-07-27,False Fire Call,Alarm System Equipment - Malfunction,4.82,23.88,"BROCK ST,RAILWAY ST","L241,P242,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.49482169574667, 44.23475533260684]}","44.2347553326,-76.4948216957"
18-1100296,2018-11-13,Fire,Fire,5.18,14.2,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51385362320279, 44.2221776160165]}","44.222177616,-76.5138536232"
18-0700735,2018-07-27,Medical,Seizure,4.67,17.1,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.56383901149958, 44.263106522951375]}","44.263106523,-76.5638390115"
18-1100299,2018-11-13,Medical,Alcohol or drug related,3.02,14.93,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.57900177540876, 44.26039632787021]}","44.2603963279,-76.5790017754"
18-0700737,2018-07-27,Medical,Medical Aid Not Required on Arrival,0.13,6.32,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.56383901149958, 44.263106522951375]}","44.263106523,-76.5638390115"
18-1100304,2018-11-14,Fire,Open air burning/unauthorized controlled burning (,3.7,20.23,BROCK ST,P242,1,"{""type"": ""Point"", ""coordinates"": [-76.57145448442652, 44.2629129783371]}","44.2629129783,-76.5714544844"
18-0700749,2018-07-28,Medical,"Accident or illness related - cuts, fractures, per",3.33,31.23,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
18-1100306,2018-11-14,Medical,Alcohol or drug related,4.64,30.27,"BROCK ST,RAILWAY ST","P242,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.47082926534297, 44.263242265159455]}","44.2632422652,-76.4708292653"
18-0700754,2018-07-28,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.92,10.98,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.5807910297067, 44.22704707441973]}","44.2270470744,-76.5807910297"
18-1100317,2018-11-14,Motor Vehicle Accident,Vehicle Collision,5.74,11.47,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.57315961404537, 44.23960881796141]}","44.239608818,-76.573159614"
18-0700760,2018-07-28,Other,Gas Leak - Natural Gas,5.91,38.3,"BROCK ST,PALACE RD,WOODBINE RD","C241,L241,P241,P261,P271",5,"{""type"": ""Point"", ""coordinates"": [-76.5000387777311, 44.256787750106724]}","44.2567877501,-76.5000387777"
18-1100322,2018-11-15,Fire,Fire,17.22,58.6,"38 HY,WOODBINE RD","P272,P291,T271,T291",4,"{""type"": ""Point"", ""coordinates"": [-76.63308968177859, 44.301402976100455]}","44.3014029761,-76.6330896818"
18-0700769,2018-07-29,False Fire Call,Human - Accidental (alarm accidentally activated b,3.53,10.75,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.4818798923604, 44.231018590635095]}","44.2310185906,-76.4818798924"
18-1100329,2018-11-15,False Fire Call,Alarm System Equipment - Malfunction,6.35,15.87,"BROCK ST,PALACE RD","L241,P261,P262",3,"{""type"": ""Point"", ""coordinates"": [-76.52842915826716, 44.22341466102599]}","44.223414661,-76.5284291583"
18-0700774,2018-07-29,Medical,Alcohol or drug related,3.85,15.33,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.50419204094995, 44.238499976571134]}","44.2384999766,-76.5041920409"
18-1100331,2018-11-15,Other,Assistance not required by other agency,3.5,7.63,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52672115281999, 44.23819485440534]}","44.2381948544,-76.5267211528"
18-0700782,2018-07-30,Medical,Other Medical/Resuscitator Call,1.85,37.5,BROCK ST,P242,1,"{""type"": ""Point"", ""coordinates"": [-76.57125524992098, 44.25368249304826]}","44.253682493,-76.5712552499"
18-1100332,2018-11-15,Other,Assistance not required by other agency,4.17,9.47,"PALACE RD,WOODBINE RD","P262,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
18-0700791,2018-07-30,False Fire Call,Alarm System Equipment - Malfunction,4.43,20.88,"BROCK ST,DAYS RD","P201,P242",2,"{""type"": ""Point"", ""coordinates"": [-76.57315961404537, 44.23960881796141]}","44.239608818,-76.573159614"
18-1100337,2018-11-15,Motor Vehicle Accident,Vehicle Collision,4.58,19.15,"PALACE RD,RAILWAY ST","P251,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.53173908816417, 44.23694768645762]}","44.2369476865,-76.5317390882"
18-0700799,2018-07-30,False Fire Call,Human - Perceived Emergency,9.04,27.38,"BROCK ST,DAYS RD,WOODBINE RD","A271,C241,L241,P201,P242,P272",6,"{""type"": ""Point"", ""coordinates"": [-76.59167545147011, 44.23497413146388]}","44.2349741315,-76.5916754515"
18-1100338,2018-11-15,Motor Vehicle Accident,Vehicle Collision,4.07,24.38,"BREWERS MILLS RD,GORE RD,JOYCEVILLE RD,UNITY RD","C231,C281,P211,P221,P231",5,"{""type"": ""Point"", ""coordinates"": [-76.33071170530121, 44.282918763825215]}","44.2829187638,-76.3307117053"
18-0700812,2018-07-31,False Fire Call,Human - Accidental (alarm accidentally activated b,7.43,21.3,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.53173908816417, 44.23694768645762]}","44.2369476865,-76.5317390882"
18-1100352,2018-11-16,False Fire Call,Alarm System Equipment - Malfunction,4.13,19.08,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50487807795841, 44.23565044734368]}","44.2356504473,-76.504878078"
18-0700813,2018-07-31,Medical,Alcohol or drug related,2.27,14.27,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49573576977936, 44.25806484294391]}","44.2580648429,-76.4957357698"
18-1100353,2018-11-16,Motor Vehicle Accident,Vehicle Collision,14.32,30.77,"BROCK ST,GORE RD,JOYCEVILLE RD,RAILWAY ST","A231,B241,C231,P211,P231,P251",6,"{""type"": ""Point"", ""coordinates"": [-76.43666932263007, 44.286501093940224]}","44.2865010939,-76.4366693226"
18-0800004,2018-08-01,Medical,Alcohol or drug related,4.35,16.88,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.50570279730498, 44.24527782748486]}","44.2452778275,-76.5057027973"
18-1100355,2018-11-16,Motor Vehicle Accident,Vehicle Collision,5.52,10.88,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49467435686904, 44.26386127135402]}","44.2638612714,-76.4946743569"
18-0800005,2018-08-01,False Fire Call,Human - Perceived Emergency,3.54,38.2,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.47082926534297, 44.263242265159455]}","44.2632422652,-76.4708292653"
18-1100363,2018-11-16,CO Alarm,CO false alarm - perceived emergency (no CO presen,5.82,20.98,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49980130505922, 44.23517284530184]}","44.2351728453,-76.4998013051"
18-0800007,2018-08-01,False Fire Call,Alarm System Equipment - Accidental activation (ex,8.38,16.13,"BROCK ST,GORE RD,RAILWAY ST","A231,L241,P231,P251",4,"{""type"": ""Point"", ""coordinates"": [-76.46678727377889, 44.23546480177396]}","44.2354648018,-76.4667872738"
18-1100364,2018-11-17,False Fire Call,Alarm System Equipment - Malfunction,9.16,27.77,"PALACE RD,WOODBINE RD","P262,P271,P272",3,"{""type"": ""Point"", ""coordinates"": [-76.58675494187692, 44.263730937543215]}","44.2637309375,-76.5867549419"
18-0800008,2018-08-01,False Fire Call,Alarm System Equipment - Accidental activation (ex,2.57,15.78,"DAYS RD,PALACE RD","P201,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.5706565719521, 44.220444109432066]}","44.2204441094,-76.570656572"
18-1100371,2018-11-17,Other,Other Response,9.06,18.72,"BROCK ST,GORE RD,JOYCEVILLE RD","A231,B241,C231,P231,T211,T231",6,"{""type"": ""Point"", ""coordinates"": [-76.39363074719888, 44.31053934756705]}","44.3105393476,-76.3936307472"
18-0800009,2018-08-01,Medical,"Vital signs absent, DOA",3.98,10.78,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.4855511725725, 44.244128890092156]}","44.2441288901,-76.4855511726"
18-1100383,2018-11-18,Medical,Other Medical/Resuscitator Call,3.5,23.8,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48691801639073, 44.22709620073853]}","44.2270962007,-76.4869180164"
18-0800013,2018-08-01,Fire,Open air burning/unauthorized controlled burning (,6.83,17.17,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.53099857320176, 44.21713552053818]}","44.2171355205,-76.5309985732"
18-1100387,2018-11-18,Medical,Seizure,3.88,7.33,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.53199753953226, 44.233835807684024]}","44.2338358077,-76.5319975395"
18-0800020,2018-08-02,Other,Incident not found,2.98,7.12,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.4845892512857, 44.23378080292764]}","44.2337808029,-76.4845892513"
18-1100389,2018-11-18,Medical,Alcohol or drug related,3.8,21.03,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49668098900284, 44.24247350731939]}","44.2424735073,-76.496680989"
18-0800023,2018-08-02,Fire,Open air burning/unauthorized controlled burning (,6.97,36.17,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P242,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48849912994768, 44.2549441930629]}","44.2549441931,-76.4884991299"
18-1100391,2018-11-18,Fire,Other Cooking/toasting/smoke/steam (no fire),3.67,10.02,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51125300100507, 44.23919004772462]}","44.2391900477,-76.511253001"
18-0800026,2018-08-02,Motor Vehicle Accident,Vehicle Collision,8.45,21.92,"BROCK ST,RAILWAY ST,UNITY RD,WOODBINE RD","B241,P251,P272,P282",4,"{""type"": ""Point"", ""coordinates"": [-76.59970306133334, 44.28376894939159]}","44.2837689494,-76.5997030613"
18-1100392,2018-11-18,False Fire Call,Alarm System Equipment - Malfunction,4.08,23.5,"PALACE RD,WOODBINE RD","P262,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.56383901149958, 44.263106522951375]}","44.263106523,-76.5638390115"
18-0800029,2018-08-02,False Fire Call,Alarm System Equipment - Malfunction,2.58,26.0,"DAYS RD,UNITY RD","P201,P282",2,"{""type"": ""Point"", ""coordinates"": [-76.56978841581532, 44.21649921002206]}","44.21649921,-76.5697884158"
18-1100395,2018-11-19,CO Alarm,CO false alarm - perceived emergency (no CO presen,8.0,23.98,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50186956687709, 44.242165857603574]}","44.2421658576,-76.5018695669"
18-0800036,2018-08-02,False Fire Call,Alarm System Equipment - Malfunction,4.53,11.98,"BROCK ST,RAILWAY ST","L241,P242,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.47757736760126, 44.23334805894668]}","44.2333480589,-76.4775773676"
18-1100399,2018-11-19,Fire,Open air burning/unauthorized controlled burning (,8.02,19.85,"PALACE RD,UNITY RD,WOODBINE RD","P262,P271,P272,WL281",4,"{""type"": ""Point"", ""coordinates"": [-76.57145448442652, 44.2629129783371]}","44.2629129783,-76.5714544844"
18-0800046,2018-08-03,Medical,Medical/resuscitator call false alarm,4.17,10.48,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50889349420783, 44.264219570851594]}","44.2642195709,-76.5088934942"
18-1100400,2018-11-19,Motor Vehicle Accident,Vehicle Collision,10.0,43.38,"BROCK ST,GORE RD,RAILWAY ST","B241,C231,P231,P241,P251",5,"{""type"": ""Point"", ""coordinates"": [-76.48869471357867, 44.27308523120855]}","44.2730852312,-76.4886947136"
18-0800048,2018-08-03,Fire,Pot on Stove (no fire),7.45,26.68,"BROCK ST,PALACE RD","L241,P242,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.53653034881921, 44.2489141121923]}","44.2489141122,-76.5365303488"
16-0800243,2016-08-10,Fire,"Overheat (no fire, e.g. engines, mechanical device",14.03,63.55,"BROCK ST,DAYS RD,WOODBINE RD","A271,C241,P201,P271,P272",5,"{""type"": ""Point"", ""coordinates"": [-76.60935283813882, 44.253362962550895]}","44.2533629626,-76.6093528381"
18-1100404,2018-11-19,Fire,Other Cooking/toasting/smoke/steam (no fire),4.32,11.9,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.4818798923604, 44.231018590635095]}","44.2310185906,-76.4818798924"
18-0800059,2018-08-03,Medical,"Asphyxia, Respiratory Condition",4.82,18.45,UNITY RD,P282,1,"{""type"": ""Point"", ""coordinates"": [-76.58400315584652, 44.25026029016967]}","44.2502602902,-76.5840031558"
16-0800251,2016-08-10,Motor Vehicle Accident,Vehicle Collision,4.95,17.17,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55049732070538, 44.25680949578515]}","44.2568094958,-76.5504973207"
18-1100431,2018-11-20,False Fire Call,"Human - Malicious intent, prank",3.68,13.12,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.48320511059644, 44.23415997636289]}","44.2341599764,-76.4832051106"
18-0800064,2018-08-03,False Fire Call,Human - Perceived Emergency,4.93,13.83,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.5807910297067, 44.22704707441973]}","44.2270470744,-76.5807910297"
16-0800253,2016-08-10,Medical,Seizure,5.43,25.4,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.58178153557749, 44.24992789751585]}","44.2499278975,-76.5817815356"
18-1100433,2018-11-20,Fire,Open air burning/unauthorized controlled burning (,2.95,18.42,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49477621863522, 44.23375245795316]}","44.233752458,-76.4947762186"
18-0800073,2018-08-04,Fire,"Overheat (no fire, e.g. engines, mechanical device",4.55,12.18,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.52358851808906, 44.244406960094466]}","44.2444069601,-76.5235885181"
16-0800260,2016-08-11,False Fire Call,Alarm System Equipment - Malfunction,3.98,12.18,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49764403420126, 44.2287690811901]}","44.2287690812,-76.4976440342"
18-1100437,2018-11-20,Medical,Medical Aid Not Required on Arrival,3.4,9.92,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51646871396082, 44.24004854395998]}","44.240048544,-76.516468714"
18-0800075,2018-08-04,False Fire Call,Alarm System Equipment - Malfunction,8.44,31.68,"BROCK ST,RAILWAY ST,UNITY RD,WOODBINE RD","A271,L241,P251,P282",4,"{""type"": ""Point"", ""coordinates"": [-76.55171461858885, 44.25920948935796]}","44.2592094894,-76.5517146186"
16-0800276,2016-08-11,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.8,26.4,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49341646208595, 44.22367897651186]}","44.2236789765,-76.4934164621"
18-1100438,2018-11-20,False Fire Call,Alarm System Equipment - Malfunction,8.69,33.25,"BROCK ST,GORE RD","A231,L241,P231,P241",4,"{""type"": ""Point"", ""coordinates"": [-76.44017428302331, 44.2346795319359]}","44.2346795319,-76.440174283"
18-0800093,2018-08-04,Other,Call cancelled on route,,3.77,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.47757736760126, 44.23334805894668]}","44.2333480589,-76.4775773676"
16-0800286,2016-08-11,Other,Incident not found,9.1,16.4,"BREWERS MILLS RD,GORE RD,JOYCEVILLE RD,UNITY RD","C281,P211,P221,P231,T211,T221,T231,WL211",8,"{""type"": ""Point"", ""coordinates"": [-76.33356792899556, 44.36257917012208]}","44.3625791701,-76.333567929"
18-1100439,2018-11-20,False Fire Call,"Human - Malicious intent, prank",4.59,10.73,"BROCK ST,PALACE RD,WOODBINE RD","C241,P262,P271,P272",4,"{""type"": ""Point"", ""coordinates"": [-76.58097265314281, 44.267459201257914]}","44.2674592013,-76.5809726531"
18-0800094,2018-08-04,Medical,Medical Aid Not Required on Arrival,1.65,14.18,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48632556256574, 44.23263387341772]}","44.2326338734,-76.4863255626"
16-0800297,2016-08-12,False Fire Call,Alarm System Equipment - Malfunction,5.73,20.37,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.48402255306219, 44.26480207604742]}","44.264802076,-76.4840225531"
18-1100446,2018-11-21,Medical,Oxygen administered,4.22,31.75,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49573576977936, 44.25806484294391]}","44.2580648429,-76.4957357698"
18-0800096,2018-08-05,False Fire Call,Alarm System Equipment - Malfunction,5.38,17.7,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.48320511059644, 44.23415997636289]}","44.2341599764,-76.4832051106"
16-0800311,2016-08-12,Medical,"Vital signs absent, DOA",2.43,17.0,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52672115281999, 44.23819485440534]}","44.2381948544,-76.5267211528"
18-1100459,2018-11-22,CO Alarm,CO false alarm - perceived emergency (no CO presen,5.07,17.67,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48355595319991, 44.22879910420322]}","44.2287991042,-76.4835559532"
18-0800097,2018-08-05,Other,Gas Leak - Natural Gas,3.67,26.73,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48777131422372, 44.235702986554074]}","44.2357029866,-76.4877713142"
16-0800319,2016-08-12,Fire,NO LOSS OUTDOOR fire (see exclusions),0.87,13.95,"38 HY,GORE RD,JOYCEVILLE RD,UNITY RD,WOODBINE RD","A231,C231,C281,P231,P281,T271,T281,T291,WL211",9,"{""type"": ""Point"", ""coordinates"": [-76.49035864885394, 44.310514679111755]}","44.3105146791,-76.4903586489"
18-1100464,2018-11-22,Other,Other Public Service,9.03,22.22,GORE RD,P231,1,"{""type"": ""Point"", ""coordinates"": [-76.45656924907865, 44.25416765677923]}","44.2541676568,-76.4565692491"
18-0800109,2018-08-05,False Fire Call,Alarm System Equipment - Malfunction,3.48,20.25,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.49077011081472, 44.24114832375164]}","44.2411483238,-76.4907701108"
16-0800321,2016-08-12,Medical,Oxygen administered,3.02,21.05,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.4886378123618, 44.241663866900964]}","44.2416638669,-76.4886378124"
18-1100471,2018-11-22,Other,Other Public Service,7.72,39.37,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.47082926534297, 44.263242265159455]}","44.2632422652,-76.4708292653"
18-0800113,2018-08-05,False Fire Call,Alarm System Equipment - Malfunction,8.54,26.55,"BROCK ST,GORE RD","A231,L241,P231,P241",4,"{""type"": ""Point"", ""coordinates"": [-76.46890237740269, 44.22886253613484]}","44.2288625361,-76.4689023774"
16-0800325,2016-08-12,Fire,Open air burning/unauthorized controlled burning (,5.15,11.03,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.50220111389214, 44.23058972307636]}","44.2305897231,-76.5022011139"
18-1100472,2018-11-22,Fire,Other Cooking/toasting/smoke/steam (no fire),2.9,18.43,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.4909987107299, 44.23754236048484]}","44.2375423605,-76.4909987107"
18-0800116,2018-08-06,False Fire Call,Alarm System Equipment - Malfunction,4.53,17.63,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49768586403857, 44.22611906685335]}","44.2261190669,-76.497685864"
16-0800328,2016-08-12,Medical,"Accident or illness related - cuts, fractures, per",3.33,22.95,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50177095179684, 44.25784263220884]}","44.2578426322,-76.5017709518"
18-1100474,2018-11-22,False Fire Call,Human - Perceived Emergency,4.4,15.73,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.48237759997983, 44.23959846021711]}","44.2395984602,-76.4823776"
18-0800117,2018-08-06,Other,Other Public Service,10.27,37.63,UNITY RD,P282,1,"{""type"": ""Point"", ""coordinates"": [-76.55586048480241, 44.26867298110575]}","44.2686729811,-76.5558604848"
16-0800332,2016-08-13,Medical,Alcohol or drug related,4.12,24.18,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49309994491176, 44.24030687570131]}","44.2403068757,-76.4930999449"
18-1100478,2018-11-22,Fire,Other Cooking/toasting/smoke/steam (no fire),3.58,15.28,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.52554502909474, 44.233597346772484]}","44.2335973468,-76.5255450291"
18-0800118,2018-08-06,Other,Other Public Hazard,0.0,1.7,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.49392089825665, 44.226860987891556]}","44.2268609879,-76.4939208983"
16-0800340,2016-08-13,Medical,Alcohol or drug related,3.85,12.25,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.4850051124945, 44.238521920061544]}","44.2385219201,-76.4850051125"
18-1100480,2018-11-22,Medical,"Asphyxia, Respiratory Condition",6.58,8.6,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.61272800403405, 44.25198678228015]}","44.2519867823,-76.612728004"
16-0800348,2016-08-13,Motor Vehicle Accident,Vehicle Collision,11.88,35.92,"BREWERS MILLS RD,GORE RD,JOYCEVILLE RD","P211,P221,P231",3,"{""type"": ""Point"", ""coordinates"": [-76.33356792899556, 44.36257917012208]}","44.3625791701,-76.333567929"
18-1100500,2018-11-23,False Fire Call,Alarm System Equipment - Malfunction,3.97,34.25,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.48068532183837, 44.228368933782264]}","44.2283689338,-76.4806853218"
16-0800357,2016-08-13,Motor Vehicle Accident,Vehicle Collision,4.23,14.03,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.50270709241339, 44.239362368433596]}","44.2393623684,-76.5027070924"
18-1100503,2018-11-23,CO Alarm,CO false alarm - equipment malfunction (no CO pres,3.58,12.9,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48495321347335, 44.256240967745356]}","44.2562409677,-76.4849532135"
16-0800362,2016-08-13,False Fire Call,Human - Perceived Emergency,7.22,19.12,"BROCK ST,GORE RD","A231,C241,P231,P241",4,"{""type"": ""Point"", ""coordinates"": [-76.46325633357092, 44.2538434089147]}","44.2538434089,-76.4632563336"
18-1100505,2018-11-23,Fire,Fire,0.1,43.02,"38 HY,UNITY RD,WOODBINE RD","C281,P272,P291,T271,T291",5,"{""type"": ""Point"", ""coordinates"": [-76.65531328096148, 44.290269921138965]}","44.2902699211,-76.655313281"
16-0800369,2016-08-13,Motor Vehicle Accident,Vehicle Collision,8.12,14.03,"BROCK ST,RAILWAY ST","P241,P243,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.48869471357867, 44.27308523120855]}","44.2730852312,-76.4886947136"
18-1100509,2018-11-23,Other,Incident not found,,6.1,"PALACE RD,RAILWAY ST","P251,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.5224335335911, 44.24616153424802]}","44.2461615342,-76.5224335336"
16-0800374,2016-08-13,False Fire Call,"Human - Malicious intent, prank",7.97,30.27,"BROCK ST,GORE RD","A231,L241,P231,P241",4,"{""type"": ""Point"", ""coordinates"": [-76.46857260020118, 44.22756343170993]}","44.2275634317,-76.4685726002"
18-1100510,2018-11-23,Other Rescue,Rescue no action required,10.29,19.93,"GORE RD,JOYCEVILLE RD","P211,P231",2,"{""type"": ""Point"", ""coordinates"": [-76.37426866299397, 44.3210090251372]}","44.3210090251,-76.374268663"
16-0800381,2016-08-13,Fire,"Overheat (no fire, e.g. engines, mechanical device",5.3,32.37,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48167755824772, 44.22902061209169]}","44.2290206121,-76.4816775582"
18-1100511,2018-11-23,Medical,Alcohol or drug related,4.27,25.75,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52842915826716, 44.22341466102599]}","44.223414661,-76.5284291583"
16-0800394,2016-08-14,Fire,"Overheat (no fire, e.g. engines, mechanical device",5.68,22.05,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52586519905587, 44.26296684662303]}","44.2629668466,-76.5258651991"
18-1100514,2018-11-23,Other,Gas Leak - Miscellaneous,6.9,24.02,"PALACE RD,UNITY RD,WOODBINE RD","C281,P262,P271,P272",4,"{""type"": ""Point"", ""coordinates"": [-76.58323306287384, 44.22644745757606]}","44.2264474576,-76.5832330629"
16-0800399,2016-08-14,Motor Vehicle Accident,Vehicle Collision,4.78,17.35,"PALACE RD,WOODBINE RD","P261,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.53876099792029, 44.25685999522891]}","44.2568599952,-76.5387609979"
