Ticket Issue Date,Issue Time,Meter,Violation Description,Location,Department
06/05/2019,16:53,,RESIDENT P,"4 HURLBUT ST
Cambridge, MA
(42.38354200600003, -71.12020000399997)",Traffic & Parking
06/03/2019,17:49,,RESIDENT P,"12 SACRAMENTO ST
Cambridge, MA
(42.382394985000076, -71.11843100299996)",Traffic & Parking
05/15/2019,14:44,,RESIDENT P,"OPP 172 NORFOLK ST
Cambridge, MA
(42.36825299600008, -71.09902496999996)",Traffic & Parking
05/23/2019,10:40,MAIN-0684,METER EXP,"700 MAIN ST
Cambridge, MA
(42.36173099500007, -71.09512595999996)",Traffic & Parking
05/02/2019,11:41,MASS-0886,METER EXP,"898 MASS AVE
Cambridge, MA
(42.36796201800007, -71.10845100699999)",Traffic & Parking
05/28/2019,08:41,FRST-0221,O/T TIME,"215 FIRST ST
Cambridge, MA
(42.364304993000076, -71.07921702399995)",Traffic & Parking
05/25/2019,11:30,CAMB-0577,METER EXP,"613 CAMBRIDGE ST
Cambridge, MA
(42.37210800100007, -71.08654096299995)",Traffic & Parking
06/08/2019,12:24,QUI-0045,METER EXP,"17 QUINCY ST
Cambridge, MA
(42.37349298400005, -71.11530597799998)",Traffic & Parking
06/04/2019,08:47,,STREET CLE,"OPP 107 SCHOOL ST
Cambridge, MA
(42.364115982000044, -71.09885598999995)",Police
06/12/2019,13:24,ALB-0215,METER EXP,"* 240 ALBANY ST
Cambridge, MA
(42.35828200900005, -71.10082196599996)",Traffic & Parking
05/03/2019,08:58,CAMB-1106,METER EXP,"1100 CAMBRIDGE ST
Cambridge, MA
(42.37291899200005, -71.09578796199997)",Traffic & Parking
05/08/2019,13:08,,O/T TIME,"165 CAMBRIDGEPARK DR
Cambridge, MA
(42.39552200900005, -71.14763900199995)",Traffic & Parking
05/30/2019,10:57,MASS-1041,METER EXP,"1033 MASS AVE
Cambridge, MA
(42.36987401400006, -71.11208498099995)",Traffic & Parking
05/02/2019,15:23,AMES-0104,METER EXP,"20 AMES ST
Cambridge, MA
(42.36064298200006, -71.08743698899997)",Traffic & Parking
06/07/2019,13:33,GARD-0048,METER EXP,"8 GARDEN ST
Cambridge, MA
(42.37599401800003, -71.12188996299994)",Traffic & Parking
06/03/2019,08:47,QUI-0015,METER EXP,"17 QUINCY ST
Cambridge, MA
(42.37349298400005, -71.11530597799998)",Traffic & Parking
06/01/2019,13:31,MASS-1112,O/T TIME,"1110 MASS AVE
Cambridge, MA
(42.370567993000066, -71.11385398099998)",Traffic & Parking
05/10/2019,14:00,ALB-0146,METER EXP,"190 ALBANY ST
Cambridge, MA
(42.35899501600005, -71.09928195899994)",Traffic & Parking
05/30/2019,13:40,CAMB-0843,METER EXP,"847 CAMBRIDGE ST
Cambridge, MA
(42.37260098200005, -71.09085998999996)",Traffic & Parking
05/06/2019,09:03,THDK-0040,METER EXP,"40 THORNDIKE ST
Cambridge, MA
(42.36928799300006, -71.07957702599998)",Traffic & Parking
05/29/2019,17:58,CON-0184,METER EXP,"*181 CONCORD AVE
Cambridge, MA
(42.38240001400004, -71.13067302399998)",Traffic & Parking
05/06/2019,13:33,EDU-0008,METER EXP,"*1 EDUCATION ST
Cambridge, MA
(42.369961018000026, -71.07064602499997)",Traffic & Parking
06/10/2019,14:42,MASS-0942,METER EXP,"950 MASS AVE
Cambridge, MA
(42.36851099100005, -71.11015404199998)",Traffic & Parking
06/10/2019,19:22,STO-0009,METER EXP,"9 STORY ST
Cambridge, MA
(42.37412099800008, -71.12246102199998)",Traffic & Parking
06/10/2019,08:32,,STREET CLE,"162 PEARL ST
Cambridge, MA
(42.36064499400004, -71.10677998999995)",Police
05/28/2019,16:09,MASS-2402,METER EXP,"2400 MASS AVE
Cambridge, MA
(42.39706599700003, -71.13022400599993)",Traffic & Parking
05/09/2019,16:00,THDK-0055,METER EXP,"*40 THORNDIKE ST
Cambridge, MA
(42.36928799300006, -71.07957702599998)",Traffic & Parking
05/21/2019,16:25,,RESIDENT P,"213 CHESTNUT ST
Cambridge, MA
(42.35886698200005, -71.11218899999994)",Traffic & Parking
05/09/2019,10:24,MASS-1604,METER EXP,"1600 MASS AVE
Cambridge, MA
(42.379685995000045, -71.12031399799997)",Traffic & Parking
05/23/2019,08:51,,RESIDENT P,"OPP 161 WASHINGTON ST
Cambridge, MA
(42.36510500400004, -71.09551001899996)",Traffic & Parking
06/07/2019,13:04,,RESIDENT P,"229 HARVARD ST
Cambridge, MA
(42.36783901300004, -71.09992099499993)",Traffic & Parking
05/31/2019,16:31,,RESIDENT P,"291 CARDINAL MEDEIROS AVE
Cambridge, MA
(42.369041984000035, -71.09043301599996)",Traffic & Parking
05/15/2019,14:30,HOL-0004,O/T TIME,"8 HOLYOKE ST
Cambridge, MA
(42.372693979000076, -71.11796798699999)",Traffic & Parking
05/16/2019,14:22,CAMB-1151,METER EXP,"1157 CAMBRIDGE ST
Cambridge, MA
(42.37332798700004, -71.09647997199994)",Traffic & Parking
06/11/2019,15:32,,RESIDENT P,"165 CHARLES ST
Cambridge, MA
(42.36803100100008, -71.08289198499995)",Traffic & Parking
05/07/2019,11:42,BAD-0110,METER EXP,"112 BISHOP ALLEN DR
Cambridge, MA
(42.36615374000007, -71.10298582799999)",Traffic & Parking
05/23/2019,18:46,BIG-0011,METER EXP,"5 BIGELOW ST
Cambridge, MA
(42.36750901800008, -71.10605503899995)",Traffic & Parking
05/14/2019,16:01,MASS-0868,METER EXP,"862 MASS AVE
Cambridge, MA
(42.36709600000006, -71.10736798099998)",Traffic & Parking
06/05/2019,14:25,MASS-0169,METER EXP,"181 MASS AVE
Cambridge, MA
(42.361047995000035, -71.09588795899998)",Traffic & Parking
05/18/2019,16:19,ALB-0072,METER EXP,"68 ALBANY ST
Cambridge, MA
(42.360966020000035, -71.09516895899998)",Traffic & Parking
05/02/2019,19:14,MTA-0095,METER EXP,"71 MT AUBURN ST
Cambridge, MA
(42.37203998100006, -71.11827903899996)",Traffic & Parking
05/21/2019,09:50,THDK-0011,METER EXP,"25 THORNDIKE ST
Cambridge, MA
(42.36951099400005, -71.07801103499997)",Traffic & Parking
06/11/2019,11:37,LAND-0043,METER EXP,"65 LANDSDOWNE ST
Cambridge, MA
(42.36061901000005, -71.10080696199998)",Traffic & Parking
05/16/2019,08:39,ALB-0156,METER EXP,"190 ALBANY ST
Cambridge, MA
(42.35899501600005, -71.09928195899994)",Traffic & Parking
05/30/2019,17:16,MASS-1576,O/T TIME,"1580 MASS AVE
Cambridge, MA
(42.379243012000074, -71.12056998099996)",Traffic & Parking
05/14/2019,10:12,MASS-1705,METER EXP,"1705 MASS AVE
Cambridge, MA
(42.38331598800005, -71.11918403399994)",Traffic & Parking
05/29/2019,16:14,MASS-2207,METER EXP,"2211 MASS AVE
Cambridge, MA
(42.39356600800005, -71.12536199899995)",Traffic & Parking
05/08/2019,11:58,MASS-1333,O/T TIME,"1341 MASS AVE
Cambridge, MA
(42.37329999100007, -71.11799195899994)",Traffic & Parking
05/30/2019,12:51,,O/T TIME,"279 BROADWAY
Cambridge, MA
(42.36827801600003, -71.09776701399994)",Traffic & Parking
06/07/2019,15:49,CHA-0058,METER EXP,"58 CHARLES ST
Cambridge, MA
(42.36735001300008, -71.07992495899998)",Traffic & Parking
05/25/2019,17:01,MTA-0120,METER EXP,"130 MT AUBURN ST
Cambridge, MA
(42.373003020000056, -71.12425500099994)",Traffic & Parking
06/06/2019,11:41,PAC-0028,METER EXP,"70 PACIFIC ST
Cambridge, MA
(42.35986401000008, -71.10264796299998)",Traffic & Parking
06/12/2019,10:55,ALB-0217,METER EXP,"* 240 ALBANY ST
Cambridge, MA
(42.35828200900005, -71.10082196599996)",Traffic & Parking
05/06/2019,17:01,,RESIDENT P,"221 MT AUBURN ST
Cambridge, MA
(42.37487000500005, -71.12995000099994)",Traffic & Parking
05/09/2019,17:54,OXF-0071,METER EXP,"35 OXFORD ST
Cambridge, MA
(42.37933701500003, -71.11689803699994)",Traffic & Parking
05/02/2019,17:57,,RESIDENT P,"95 ANTRIM ST
Cambridge, MA
(42.372637988000065, -71.10237999399999)",Traffic & Parking
05/13/2019,13:58,,BIKE LANE,"1686 MASS AVE
Cambridge, MA
(42.382648998000036, -71.12000302899997)",Traffic & Parking
05/15/2019,11:31,FUL-0098,METER EXP,"* 95 FULKERSON ST
Cambridge, MA
(42.368860013000074, -71.08795398399997)",Traffic & Parking
05/25/2019,15:48,MASS-1618,METER EXP,"1622 MASS AVE
Cambridge, MA
(42.38012298600006, -71.12022397599998)",Traffic & Parking
05/13/2019,13:25,MASS-1954,METER EXP,"1950 MASS AVE
Cambridge, MA
(42.38948397900003, -71.12050996699998)",Traffic & Parking
05/31/2019,11:25,BWAY-0227,METER EXP,"221 BROADWAY
Cambridge, MA
(42.36669999700007, -71.09394302199996)",Traffic & Parking
06/11/2019,10:32,,RESIDENT P,"3 JEFFERSON ST
Cambridge, MA
(42.37303101600003, -71.08829303199997)",Traffic & Parking
05/31/2019,15:16,MTA-0093,METER EXP,"71 MT AUBURN ST
Cambridge, MA
(42.37203998100006, -71.11827903899996)",Traffic & Parking
06/11/2019,10:20,PAC-0032,METER EXP,"70 PACIFIC ST
Cambridge, MA
(42.35986401000008, -71.10264796299998)",Traffic & Parking
05/07/2019,17:24,FRST-0215,METER EXP,"215 FIRST ST
Cambridge, MA
(42.364304993000076, -71.07921702399995)",Traffic & Parking
06/08/2019,12:27,QUI-0029,METER EXP,"17 QUINCY ST
Cambridge, MA
(42.37349298400005, -71.11530597799998)",Traffic & Parking
06/11/2019,08:32,THRD-0262,METER EXP,"270 THIRD ST
Cambridge, MA
(42.365971986000034, -71.08144199999998)",Traffic & Parking
06/01/2019,13:58,MTA-0065,METER EXP,"57 MT AUBURN ST
Cambridge, MA
(42.37157600100005, -71.11722400899998)",Traffic & Parking
05/07/2019,13:56,HOL-0014,METER EXP,"20 HOLYOKE ST
Cambridge, MA
(42.37229298900007, -71.11822296499997)",Traffic & Parking
05/17/2019,13:58,MASS-0319,METER EXP,"319 MASS AVE
Cambridge, MA
(42.36253100600004, -71.09845198299996)",Traffic & Parking
05/06/2019,12:49,MASS-0324,O/T TIME,"296 MASS AVE
Cambridge, MA
(42.361973986000066, -71.09850503999996)",Traffic & Parking
06/03/2019,12:48,,O/T TIME,"287 BROADWAY
Cambridge, MA
(42.368549003000055, -71.09848500699997)",Traffic & Parking
05/01/2019,13:17,,RESIDENT P,"47 HOLWORTHY ST
Cambridge, MA
(42.37603299400007, -71.14988702899996)",Traffic & Parking
05/16/2019,11:33,SID-0060,METER EXP,"64 SIDNEY ST
Cambridge, MA
(42.36092599700004, -71.10131498899995)",Traffic & Parking
05/31/2019,13:40,VAS-0193,METER EXP,"201 VASSAR ST
Cambridge, MA
(42.35810498400008, -71.09954498299999)",Traffic & Parking
05/10/2019,11:25,MTA-0120,METER EXP,"130 MT AUBURN ST
Cambridge, MA
(42.373003020000056, -71.12425500099994)",Traffic & Parking
05/16/2019,17:04,GARD-0024,METER EXP,"2 GARDEN ST
Cambridge, MA
(42.37565601800003, -71.12082898199998)",Traffic & Parking
05/14/2019,10:40,,STREET CLE,"23 ELLERY ST
Cambridge, MA
(42.370851008000045, -71.11123698299997)",Police
06/07/2019,14:28,MASS-1034,METER EXP,"1030 MASS AVE
Cambridge, MA
(42.36945898400006, -71.11232302699995)",Traffic & Parking
05/22/2019,15:12,,RESIDENT P,"31 SEVEN PINES AVE
Cambridge, MA
(42.39938501800003, -71.12942101999994)",Traffic & Parking
06/04/2019,13:33,MASS-2283,METER EXP,"2285 MASS AVE
Cambridge, MA
(42.39508698800006, -71.12720299999995)",Traffic & Parking
05/01/2019,13:17,,RESIDENT P,"17 CREIGHTON ST
Cambridge, MA
(42.39050099700006, -71.12289998299997)",Traffic & Parking
05/01/2019,08:39,PLY-0026,METER EXP,"58 PLYMPTON ST
Cambridge, MA
(42.37070901900006, -71.11663199499998)",Traffic & Parking
05/07/2019,09:22,,LOADING ZN,"88 SIDNEY ST
Cambridge, MA
(42.36065999700003, -71.10188001399996)",Traffic & Parking
06/07/2019,14:47,MASS-0313,METER EXP,"301 MASS AVE
Cambridge, MA
(42.362410013000044, -71.09830898699994)",Traffic & Parking
05/18/2019,12:37,PLE-0012,METER EXP,"12 PLEASANT ST
Cambridge, MA
(42.36568100900007, -71.10603802399999)",Traffic & Parking
06/06/2019,14:21,MASS-0444,METER EXP,"440 MASS AVE
Cambridge, MA
(42.363410980000026, -71.10103201599998)",Traffic & Parking
06/01/2019,12:37,JFK-0041,METER EXP,"59 JFK ST
Cambridge, MA
(42.37187699500004, -71.12111103299998)",Traffic & Parking
05/20/2019,15:57,CAMB-1418,METER EXP,"1426 CAMBRIDGE ST
Cambridge, MA
(42.373709992000045, -71.10204999899997)",Traffic & Parking
05/02/2019,19:09,MTA-0033,METER EXP,"29 MT AUBURN ST
Cambridge, MA
(42.370983987000045, -71.11540597399994)",Traffic & Parking
05/08/2019,15:38,,RESIDENT P,"17 HASKELL ST
Cambridge, MA
(42.39332498600004, -71.12711599599999)",Traffic & Parking
05/22/2019,13:58,VAS-0061,METER EXP,"59 VASSAR ST
Cambridge, MA
(42.36103600900003, -71.09361797199995)",Traffic & Parking
05/14/2019,13:33,,NO STOPPIN,"25 GRANT ST
Cambridge, MA
(42.36983901900004, -71.11611198199995)",Traffic & Parking
06/03/2019,16:21,JFK-0037,METER EXP,"59 JFK ST
Cambridge, MA
(42.37187699500004, -71.12111103299998)",Traffic & Parking
05/14/2019,16:33,WIND-0014,O/T TIME,"22 WINDSOR ST
Cambridge, MA
(42.36220800900003, -71.09662799699998)",Traffic & Parking
05/31/2019,17:31,STO-0007,METER EXP,"7 STORY ST
Cambridge, MA
(42.374186000000066, -71.12236597199995)",Traffic & Parking
05/15/2019,09:44,AMES-0100,METER EXP,"20 AMES ST
Cambridge, MA
(42.36064298200006, -71.08743698899997)",Traffic & Parking
05/24/2019,13:39,PLY-0028,METER EXP,"58 PLYMPTON ST
Cambridge, MA
(42.37070901900006, -71.11663199499998)",Traffic & Parking
05/06/2019,08:26,HOL-0010,METER EXP,"16 HOLYOKE ST
Cambridge, MA
(42.37236398400006, -71.11818398899999)",Traffic & Parking
05/10/2019,08:09,MAIN-0750,METER EXP,"770 MAIN ST
Cambridge, MA
(42.36283799300003, -71.09625701399995)",Traffic & Parking
05/23/2019,08:34,,RESIDENT P,"5 KINNAIRD ST
Cambridge, MA
(42.36420902100008, -71.10910102299994)",Traffic & Parking
06/11/2019,10:04,MASS-0448,METER EXP,"440 MASS AVE
Cambridge, MA
(42.363410980000026, -71.10103201599998)",Traffic & Parking
05/17/2019,08:31,FUL-0116,METER EXP,"* 101 FULKERSON ST
Cambridge, MA
(42.368860013000074, -71.08795398399997)",Traffic & Parking
05/28/2019,14:13,MASS-1623,METER EXP,"1627 MASS AVE
Cambridge, MA
(42.38066701300005, -71.11949500199995)",Traffic & Parking
05/06/2019,12:43,SID-0038,METER EXP,"38 SIDNEY ST
Cambridge, MA
(42.36144701600006, -71.10074401399999)",Traffic & Parking
05/13/2019,16:01,MASS-1734,METER EXP,"1734 MASS AVE
Cambridge, MA
(42.38430999800005, -71.11992599999996)",Traffic & Parking
05/15/2019,08:58,,LOADING ZN,"26 CHAUNCY ST
Cambridge, MA
(42.379136981000045, -71.12268699899994)",Traffic & Parking
06/06/2019,17:36,MASS-1973,METER EXP,"1967 MASS AVE
Cambridge, MA
(42.39023001000004, -71.12035297399996)",Traffic & Parking
05/10/2019,17:46,MASS-1773,METER EXP,"1775 MASS AVE
Cambridge, MA
(42.385663005000026, -71.11866401999998)",Traffic & Parking
05/09/2019,18:41,MASS-1108,METER EXP,"1100 MASS AVE
Cambridge, MA
(42.37040299600005, -71.11374903999996)",Traffic & Parking
05/29/2019,14:13,BINY-0091,METER EXP,"125 BINNEY ST
Cambridge, MA
(42.36586800900005, -71.08065502299996)",Traffic & Parking
05/16/2019,10:45,MASS-1147,METER EXP,"1151 MASS AVE
Cambridge, MA
(42.371665017000055, -71.11426402399997)",Traffic & Parking
06/04/2019,14:18,CAMB-0926,METER EXP,"950 CAMBRIDGE ST
Cambridge, MA
(42.372475002000044, -71.09260300699998)",Traffic & Parking
05/22/2019,15:58,CAMB-0934,METER EXP,"950 CAMBRIDGE ST
Cambridge, MA
(42.372475002000044, -71.09260300699998)",Traffic & Parking
06/05/2019,12:52,FUL-0120,METER EXP,"* 101 FULKERSON ST
Cambridge, MA
(42.368860013000074, -71.08795398399997)",Traffic & Parking
05/08/2019,19:14,,RESIDENT P,"60 PLYMOUTH ST
Cambridge, MA
(42.368942994000065, -71.09323801999994)",Traffic & Parking
05/14/2019,08:22,SID-0032,METER EXP,"38 SIDNEY ST
Cambridge, MA
(42.36144701600006, -71.10074401399999)",Traffic & Parking
06/01/2019,11:15,,NO PARKING,"55 MAGAZINE ST
Cambridge, MA
(42.36266398400005, -71.10770300499996)",Police
06/11/2019,11:05,ALB-0160,METER EXP,"190 ALBANY ST
Cambridge, MA
(42.35899501600005, -71.09928195899994)",Traffic & Parking
05/18/2019,17:11,SID-0090,METER EXP,"88 SIDNEY ST
Cambridge, MA
(42.36065999700003, -71.10188001399996)",Traffic & Parking
05/04/2019,19:15,MASS-0933,METER EXP,"955 MASS AVE
Cambridge, MA
(42.36912500700004, -71.10990702699996)",Traffic & Parking
05/28/2019,16:58,BWAY-0176,METER EXP,"*185 BROADWAY
Cambridge, MA
(42.36596901100006, -71.09176800199998)",Traffic & Parking
05/20/2019,11:03,CAMB-1172,METER EXP,"1172 CAMBRIDGE ST
Cambridge, MA
(42.37305000100008, -71.09699897999997)",Traffic & Parking
05/18/2019,11:03,MAIN-0466,METER EXP,"500 MAIN ST
Cambridge, MA
(42.36229300100007, -71.08921202399995)",Traffic & Parking
05/21/2019,13:35,OXF-0071,METER EXP,"35 OXFORD ST
Cambridge, MA
(42.37933701500003, -71.11689803699994)",Traffic & Parking
06/12/2019,08:37,MAIN-0612,METER EXP,"600 MAIN ST
Cambridge, MA
(42.36258800300004, -71.09301397199994)",Traffic & Parking
05/25/2019,14:12,MAIN-0035,METER EXP,"101 MAIN ST
Cambridge, MA
(42.36239500900007, -71.08157200299996)",Traffic & Parking
05/22/2019,08:03,,RESIDENT P,"171 AUBURN ST
Cambridge, MA
(42.363878019000026, -71.10514199899995)",Traffic & Parking
05/06/2019,16:14,MASS-0321,METER EXP,"319 MASS AVE
Cambridge, MA
(42.36253100600004, -71.09845198299996)",Traffic & Parking
05/21/2019,10:19,MAIN-0742,METER EXP,"770 MAIN ST
Cambridge, MA
(42.36283799300003, -71.09625701399995)",Traffic & Parking
05/28/2019,11:02,MASS-0165,METER EXP,"181 MASS AVE
Cambridge, MA
(42.361047995000035, -71.09588795899998)",Traffic & Parking
05/17/2019,08:06,MASS-1146,METER EXP,"1200 MASS AVE
Cambridge, MA
(42.37154201200008, -71.11534595999996)",Traffic & Parking
05/20/2019,14:26,MASS-1134,METER EXP,"1170 MASS AVE
Cambridge, MA
(42.37135899400005, -71.11484296199995)",Traffic & Parking
06/07/2019,18:07,,RESIDENT P,"62 AMORY ST
Cambridge, MA
(42.37088298500004, -71.10095498699997)",Traffic & Parking
06/10/2019,12:51,DEW-0011,METER EXP,"15 DEWOLFE ST
Cambridge, MA
(42.37039398500008, -71.11674297199994)",Traffic & Parking
05/13/2019,11:11,KIRK-0005,METER EXP,"21 KIRKLAND ST
Cambridge, MA
(42.376804004000064, -71.11504999499994)",Traffic & Parking
06/12/2019,13:19,ALB-0268,METER EXP,"270 ALBANY ST
Cambridge, MA
(42.35767101000005, -71.10191798399995)",Traffic & Parking
05/30/2019,13:23,KIRK-0025,O/T TIME,"21 KIRKLAND ST
Cambridge, MA
(42.376804004000064, -71.11504999499994)",Traffic & Parking
06/03/2019,09:00,MAIN-0474,O/T TIME,"500 MAIN ST
Cambridge, MA
(42.36229300100007, -71.08921202399995)",Traffic & Parking
06/10/2019,19:09,GRE-0312,METER EXP,"* 359 GREEN ST
Cambridge, MA
(42.365740017000064, -71.10539697599995)",Traffic & Parking
06/12/2019,13:57,MASS-0997,METER EXP,"1007 MASS AVE
Cambridge, MA
(42.36958299400004, -71.11130496099997)",Traffic & Parking
05/07/2019,14:05,CAMB-1006,METER EXP,"1000 CAMBRIDGE ST
Cambridge, MA
(42.37265299200004, -71.09357899599996)",Traffic & Parking
06/11/2019,13:25,OXF-0089,METER EXP,"35 OXFORD ST
Cambridge, MA
(42.37933701500003, -71.11689803699994)",Traffic & Parking
05/08/2019,08:04,,RESIDENT P,"OPP 75 SEVENTH ST
Cambridge, MA
(42.37084199800006, -71.08587996599994)",Traffic & Parking
05/02/2019,12:54,THDK-0052,METER EXP,"40 THORNDIKE ST
Cambridge, MA
(42.36928799300006, -71.07957702599998)",Traffic & Parking
06/10/2019,17:03,MASS-1738,METER EXP,"1734 MASS AVE
Cambridge, MA
(42.38430999800005, -71.11992599999996)",Traffic & Parking
06/12/2019,08:34,FRST-0033,METER EXP,"25 FIRST ST
Cambridge, MA
(42.36951099400005, -71.07801103499997)",Traffic & Parking
05/11/2019,13:45,MASS-1339,METER EXP,"1341 MASS AVE
Cambridge, MA
(42.37329999100007, -71.11799195899994)",Traffic & Parking
05/14/2019,15:15,BWAY-0174,METER EXP,"*185 BROADWAY
Cambridge, MA
(42.36596901100006, -71.09176800199998)",Traffic & Parking
05/20/2019,14:22,HAN-0075,METER EXP,"75 HANCOCK ST
Cambridge, MA
(42.368626996000046, -71.10877002199999)",Traffic & Parking
05/09/2019,08:02,DEW-0022,METER EXP,"20 DEWOLFE ST
Cambridge, MA
(42.37004898600003, -71.11649201799997)",Traffic & Parking
05/04/2019,12:18,,RESIDENT P,"167 CHARLES ST
Cambridge, MA
(42.36804298700008, -71.08298602999997)",Traffic & Parking
05/04/2019,13:22,BRAT-0058,METER EXP,"60 BRATTLE ST
Cambridge, MA
(42.37460798700005, -71.12236102599996)",Traffic & Parking
06/11/2019,08:54,,NO STOPPIN,"1038 MASS AVE
Cambridge, MA
(42.369645020000064, -71.11268596299993)",Traffic & Parking
05/10/2019,13:43,,NO PARKING,"1 SHEPARD ST
Cambridge, MA
(42.381941021000046, -71.12008701599996)",Traffic & Parking
06/06/2019,13:44,CAMB-0354,METER EXP,"392 CAMBRIDGE ST
Cambridge, MA
(42.371167006000064, -71.08268302499994)",Traffic & Parking
06/03/2019,08:28,,NO PARKING,"11 HURLEY ST
Cambridge, MA
(42.368335013000035, -71.07828202199994)",Traffic & Parking
05/23/2019,12:35,HAN-0081,METER EXP,"75 HANCOCK ST
Cambridge, MA
(42.368626996000046, -71.10877002199999)",Traffic & Parking
05/31/2019,09:39,JFK-0038,METER EXP,"54 JFK ST
Cambridge, MA
(42.37189300500006, -71.12042002899994)",Traffic & Parking
05/15/2019,15:11,,NO PARKING,"17 ALLEN ST
Cambridge, MA
(42.39044299500006, -71.11989900999998)",Traffic & Parking
05/29/2019,17:12,MASS-1038,METER EXP,"1030 MASS AVE
Cambridge, MA
(42.36945898400006, -71.11232302699995)",Traffic & Parking
05/14/2019,09:01,LAND-0043,METER EXP,"65 LANDSDOWNE ST
Cambridge, MA
(42.36061901000005, -71.10080696199998)",Traffic & Parking
05/21/2019,12:08,MASS-0940,METER EXP,"950 MASS AVE
Cambridge, MA
(42.36851099100005, -71.11015404199998)",Traffic & Parking
06/11/2019,13:46,EDU-0012,O/T TIME,"*1 EDUCATION ST
Cambridge, MA
(42.369961018000026, -71.07064602499997)",Traffic & Parking
05/31/2019,10:11,,RESIDENT P,"2 CHANNING PL
Cambridge, MA
(42.37781498700008, -71.13589997899999)",Traffic & Parking
06/08/2019,16:14,MAIN-0636,METER EXP,"610 MAIN ST
Cambridge, MA
(42.362619979000044, -71.09435800999995)",Traffic & Parking
06/06/2019,13:39,MASS-1150,METER EXP,"1206 MASS AVE
Cambridge, MA
(42.371853987000065, -71.11541402099994)",Traffic & Parking
05/03/2019,08:40,MAIN-0612,METER EXP,"600 MAIN ST
Cambridge, MA
(42.36258800300004, -71.09301397199994)",Traffic & Parking
05/07/2019,16:27,VAS-0043,METER EXP,"51 VASSAR ST
Cambridge, MA
(42.36161302000005, -71.09245900599996)",Traffic & Parking
05/25/2019,15:33,MASS-0872,METER EXP,"872 MASS AVE
Cambridge, MA
(42.367446992000055, -71.10783200299994)",Traffic & Parking
06/05/2019,13:28,OXF-0075,METER EXP,"35 OXFORD ST
Cambridge, MA
(42.37933701500003, -71.11689803699994)",Traffic & Parking
06/05/2019,12:08,CAMB-1009,METER EXP,"1035 CAMBRIDGE ST
Cambridge, MA
(42.37352001600004, -71.09349098599995)",Traffic & Parking
05/14/2019,16:45,FRST-0149,METER EXP,"155 FIRST ST
Cambridge, MA
(42.36608698600003, -71.07847103399996)",Traffic & Parking
05/21/2019,17:45,BRAT-0063,METER EXP,"69 BRATTLE ST
Cambridge, MA
(42.375232984000036, -71.12256797499998)",Traffic & Parking
06/11/2019,12:58,,NO STOPPIN,"155 MT AUBURN ST
Cambridge, MA
(42.374656979000065, -71.12557498299998)",Traffic & Parking
06/07/2019,20:15,,OBSTRUCT,"16 SHEA RD
Cambridge, MA
(42.396408018000045, -71.12811000599999)",Police
05/17/2019,13:15,,O/T TIME,"OPP 195 MT AUBURN ST
Cambridge, MA
(42.374759993000055, -71.12890796299996)",Traffic & Parking
06/04/2019,13:51,CAMB-0355,METER EXP,"401 CAMBRIDGE ST
Cambridge, MA
(42.371585012000025, -71.08278201499996)",Traffic & Parking
06/07/2019,11:25,,HHP/VETS,"OPP 78 MT AUBURN ST
Cambridge, MA
(42.37197200400004, -71.11915897199998)",Traffic & Parking
05/13/2019,13:44,MASS-1276,METER EXP,"1288 MASS AVE
Cambridge, MA
(42.372581997000054, -71.11697699499996)",Traffic & Parking
05/25/2019,17:24,QUI-0015,METER EXP,"17 QUINCY ST
Cambridge, MA
(42.37349298400005, -71.11530597799998)",Traffic & Parking
05/15/2019,19:11,MTA-0110,METER EXP,"124 MT AUBURN ST
Cambridge, MA
(42.37316998800003, -71.12336501099998)",Traffic & Parking
05/20/2019,08:35,FRST-0053,METER EXP,"59 FIRST ST
Cambridge, MA
(42.368929335000075, -71.07739122299995)",Traffic & Parking
06/03/2019,11:50,MASS-0942,METER EXP,"950 MASS AVE
Cambridge, MA
(42.36851099100005, -71.11015404199998)",Traffic & Parking
06/07/2019,08:16,MAIN-0027,METER EXP,"101 MAIN ST
Cambridge, MA
(42.36239500900007, -71.08157200299996)",Traffic & Parking
05/30/2019,15:05,AMES-0054,METER EXP,"40 AMES ST
Cambridge, MA
(42.361838996000074, -71.08779598499996)",Traffic & Parking
05/13/2019,17:33,VAS-0061,METER EXP,"59 VASSAR ST
Cambridge, MA
(42.36103600900003, -71.09361797199995)",Traffic & Parking
05/22/2019,10:59,THRD-0272,METER EXP,"270 THIRD ST
Cambridge, MA
(42.365971986000034, -71.08144199999998)",Traffic & Parking
05/11/2019,19:22,MAIN-0600,METER EXP,"600 MAIN ST
Cambridge, MA
(42.36258800300004, -71.09301397199994)",Traffic & Parking
05/30/2019,11:37,HAMP-0047,METER EXP,"41 HAMPSHIRE ST
Cambridge, MA
(42.36684098000006, -71.09201099299997)",Traffic & Parking
05/29/2019,09:48,PAC-0014,METER EXP,"70 PACIFIC ST
Cambridge, MA
(42.35986401000008, -71.10264796299998)",Traffic & Parking
05/11/2019,16:01,,OBSTRUCT,"269 PUTNAM AVE
Cambridge, MA
(42.36267798200004, -71.11382497999995)",Police
05/11/2019,19:22,BRK-0010,METER EXP,"10 BROOKLINE ST
Cambridge, MA
(42.36361000800008, -71.10152998499996)",Traffic & Parking
05/16/2019,19:08,BWAY-0181,METER EXP,"185 BROADWAY
Cambridge, MA
(42.36596901100006, -71.09176800199998)",Traffic & Parking
